lineup,rating,players
Grimes/Kessler/Luka/Thiero/Vanderbilt,4.37,"Grimes,Kessler,Luka,Thiero,Vanderbilt"
Grimes/Kessler/Luka/Vanderbilt/Ziaire,6.75,"Grimes,Kessler,Luka,Vanderbilt,Ziaire"
Grimes/Kessler/Reaves/Sandro/Sexton,5.29,"Grimes,Kessler,Reaves,Sandro,Sexton"
Grimes/Kessler/Reaves/Sandro/Thiero,2.89,"Grimes,Kessler,Reaves,Sandro,Thiero"
Grimes/Kessler/Reaves/Sandro/Vanderbilt,4.99,"Grimes,Kessler,Reaves,Sandro,Vanderbilt"
Grimes/Kessler/Reaves/Sandro/Ziaire,8.13,"Grimes,Kessler,Reaves,Sandro,Ziaire"
Grimes/Kessler/Reaves/Sexton/Vanderbilt,5.94,"Grimes,Kessler,Reaves,Sexton,Vanderbilt"
Grimes/Kessler/Reaves/Thiero/Vanderbilt,1.76,"Grimes,Kessler,Reaves,Thiero,Vanderbilt"
Grimes/LaRavia/Looney/Luka/Sandro,10.08,"Grimes,LaRavia,Looney,Luka,Sandro"
Grimes/LaRavia/Looney/Luka/Vanderbilt,11.09,"Grimes,LaRavia,Looney,Luka,Vanderbilt"
Grimes/LaRavia/Looney/Reaves/Sandro,10.75,"Grimes,LaRavia,Looney,Reaves,Sandro"
Grimes/LaRavia/Looney/Reaves/Sexton,2.8,"Grimes,LaRavia,Looney,Reaves,Sexton"
Grimes/LaRavia/Looney/Reaves/Vanderbilt,8.61,"Grimes,LaRavia,Looney,Reaves,Vanderbilt"
Grimes/LaRavia/Luka/Reaves/Sandro,8.81,"Grimes,LaRavia,Luka,Reaves,Sandro"
Grimes/LaRavia/Luka/Reaves/Sexton,-0.02,"Grimes,LaRavia,Luka,Reaves,Sexton"
Grimes/LaRavia/Luka/Sandro/Vanderbilt,5.43,"Grimes,LaRavia,Luka,Sandro,Vanderbilt"
Grimes/Looney/Luka/Reaves/Sandro,11.1,"Grimes,Looney,Luka,Reaves,Sandro"
Grimes/Looney/Luka/Reaves/Thiero,4.1,"Grimes,Looney,Luka,Reaves,Thiero"
Grimes/Looney/Luka/Reaves/Vanderbilt,6.14,"Grimes,Looney,Luka,Reaves,Vanderbilt"
Grimes/Looney/Luka/Sandro/Sexton,8.91,"Grimes,Looney,Luka,Sandro,Sexton"
Grimes/Looney/Luka/Sandro/Thiero,13.24,"Grimes,Looney,Luka,Sandro,Thiero"
Grimes/Looney/Luka/Sandro/Vanderbilt,10.08,"Grimes,Looney,Luka,Sandro,Vanderbilt"
Grimes/Looney/Luka/Sandro/Ziaire,5.03,"Grimes,Looney,Luka,Sandro,Ziaire"
Grimes/Looney/Luka/Vanderbilt/Ziaire,4.07,"Grimes,Looney,Luka,Vanderbilt,Ziaire"
Grimes/Looney/Reaves/Sandro/Sexton,9.13,"Grimes,Looney,Reaves,Sandro,Sexton"
Grimes/Looney/Reaves/Sandro/Thiero,7.28,"Grimes,Looney,Reaves,Sandro,Thiero"
Grimes/Looney/Reaves/Sandro/Vanderbilt,9.52,"Grimes,Looney,Reaves,Sandro,Vanderbilt"
